year,gender,total_count
2013,Overall Homeless Veterans - Woman,8678.0
2013,Sheltered Total Homeless Veterans - Woman,5864.0
2013,Unsheltered Homeless Veterans - Woman,2814.0
2014,Overall Homeless - Man,559576.0
2014,Overall Homeless - Transgender,1498.0
2014,Overall Homeless - Woman,408378.0
2014,Overall Homeless Individuals - Man,397276.0
2014,Overall Homeless Individuals - Transgender,1250.0
2014,Overall Homeless Individuals - Woman,159734.0
2014,Overall Homeless People in Families - Man,162300.0
2014,Overall Homeless People in Families - Transgender,248.0
2014,Overall Homeless People in Families - Woman,248644.0
2014,Overall Homeless Veterans - Man,72882.0
2014,Overall Homeless Veterans - Transgender,86.0
2014,Overall Homeless Veterans - Woman,9294.0
2014,Sheltered ES Homeless - Man,289034.0
2014,Sheltered ES Homeless - Transgender,594.0
2014,Sheltered ES Homeless - Woman,219026.0
2014,Sheltered ES Homeless Individuals - Man,197974.0
2014,Sheltered ES Homeless Individuals - Transgender,538.0
2014,Sheltered ES Homeless Individuals - Woman,80198.0
2014,Sheltered ES Homeless People in Families - Man,91060.0
2014,Sheltered ES Homeless People in Families - Transgender,56.0
2014,Sheltered ES Homeless People in Families - Woman,138828.0
2014,Sheltered ES Homeless Veterans - Man,24526.0
2014,Sheltered ES Homeless Veterans - Transgender,24.0
2014,Sheltered ES Homeless Veterans - Woman,2648.0
2014,Sheltered SH Homeless - Man,2540.0
2014,Sheltered SH Homeless - Transgender,16.0
2014,Sheltered SH Homeless - Woman,1472.0
2014,Sheltered SH Homeless Individuals - Man,2540.0
2014,Sheltered SH Homeless Individuals - Transgender,16.0
2014,Sheltered SH Homeless Individuals - Woman,1472.0
2014,Sheltered SH Homeless Veterans - Man,498.0
2014,Sheltered SH Homeless Veterans - Transgender,2.0
2014,Sheltered SH Homeless Veterans - Woman,48.0
2014,Sheltered TH Homeless - Man,152744.0
2014,Sheltered TH Homeless - Transgender,458.0
2014,Sheltered TH Homeless - Woman,136218.0
2014,Sheltered TH Homeless Individuals - Man,94500.0
2014,Sheltered TH Homeless Individuals - Transgender,278.0
2014,Sheltered TH Homeless Individuals - Woman,40780.0
2014,Sheltered TH Homeless People in Families - Man,58244.0
2014,Sheltered TH Homeless People in Families - Transgender,180.0
2014,Sheltered TH Homeless People in Families - Woman,95438.0
2014,Sheltered TH Homeless Veterans - Man,33310.0
2014,Sheltered TH Homeless Veterans - Transgender,36.0
2014,Sheltered TH Homeless Veterans - Woman,3146.0
2014,Sheltered Total Homeless - Man,444318.0
2014,Sheltered Total Homeless - Transgender,1068.0
2014,Sheltered Total Homeless - Woman,356716.0
2014,Sheltered Total Homeless Individuals - Man,295014.0
2014,Sheltered Total Homeless Individuals - Transgender,832.0
2014,Sheltered Total Homeless Individuals - Woman,122450.0
2014,Sheltered Total Homeless People in Families - Man,149304.0
2014,Sheltered Total Homeless People in Families - Transgender,236.0
2014,Sheltered Total Homeless People in Families - Woman,234266.0
2014,Sheltered Total Homeless Veterans - Man,58334.0
2014,Sheltered Total Homeless Veterans - Transgender,62.0
2014,Sheltered Total Homeless Veterans - Woman,5842.0
2014,Unsheltered Homeless - Man,115258.0
2014,Unsheltered Homeless - Transgender,430.0
2014,Unsheltered Homeless - Woman,51662.0
2014,Unsheltered Homeless Individuals - Man,102262.0
2014,Unsheltered Homeless Individuals - Transgender,418.0
2014,Unsheltered Homeless Individuals - Woman,37284.0
2014,Unsheltered Homeless People in Families - Man,12996.0
2014,Unsheltered Homeless People in Families - Transgender,12.0
2014,Unsheltered Homeless People in Families - Woman,14378.0
2014,Unsheltered Homeless Veterans - Man,14548.0
2014,Unsheltered Homeless Veterans - Transgender,24.0
2014,Unsheltered Homeless Veterans - Woman,3452.0
2015,Overall Homeless - Man,678150.0
2015,Overall Homeless - Transgender,2578.0
2015,Overall Homeless - Woman,448688.0
2015,Overall Homeless Individuals - Man,514122.0
2015,Overall Homeless Individuals - Transgender,2354.0
2015,Overall Homeless Individuals - Woman,200368.0
2015,Overall Homeless People in Families - Man,164028.0
2015,Overall Homeless People in Families - Transgender,224.0
2015,Overall Homeless People in Families - Woman,248320.0
2015,Overall Homeless Veterans - Man,86590.0
2015,Overall Homeless Veterans - Transgender,184.0
2015,Overall Homeless Veterans - Woman,8676.0
2015,Sheltered ES Homeless - Man,290058.0
2015,Sheltered ES Homeless - Transgender,898.0
2015,Sheltered ES Homeless - Woman,227638.0
2015,Sheltered ES Homeless Individuals - Man,194938.0
2015,Sheltered ES Homeless Individuals - Transgender,838.0
2015,Sheltered ES Homeless Individuals - Woman,84164.0
2015,Sheltered ES Homeless People in Families - Man,95120.0
2015,Sheltered ES Homeless People in Families - Transgender,60.0
2015,Sheltered ES Homeless People in Families - Woman,143474.0
2015,Sheltered ES Homeless Veterans - Man,24412.0
2015,Sheltered ES Homeless Veterans - Transgender,52.0
2015,Sheltered ES Homeless Veterans - Woman,2436.0
2015,Sheltered SH Homeless - Man,2486.0
2015,Sheltered SH Homeless - Transgender,60.0
2015,Sheltered SH Homeless - Woman,1176.0
2015,Sheltered SH Homeless Individuals - Man,2486.0
2015,Sheltered SH Homeless Individuals - Transgender,60.0
2015,Sheltered SH Homeless Individuals - Woman,1176.0
2015,Sheltered SH Homeless Veterans - Man,692.0
2015,Sheltered SH Homeless Veterans - Woman,52.0
2015,Sheltered TH Homeless - Man,140314.0
2015,Sheltered TH Homeless - Transgender,416.0
2015,Sheltered TH Homeless - Woman,119834.0
2015,Sheltered TH Homeless Individuals - Man,90448.0
2015,Sheltered TH Homeless Individuals - Transgender,346.0
2015,Sheltered TH Homeless Individuals - Woman,36776.0
2015,Sheltered TH Homeless People in Families - Man,49866.0
2015,Sheltered TH Homeless People in Families - Transgender,70.0
2015,Sheltered TH Homeless People in Families - Woman,83058.0
2015,Sheltered TH Homeless Veterans - Man,32394.0
2015,Sheltered TH Homeless Veterans - Transgender,44.0
2015,Sheltered TH Homeless Veterans - Woman,2928.0
2015,Sheltered Total Homeless - Man,432858.0
2015,Sheltered Total Homeless - Transgender,1374.0
2015,Sheltered Total Homeless - Woman,348648.0
2015,Sheltered Total Homeless Individuals - Man,287872.0
2015,Sheltered Total Homeless Individuals - Transgender,1244.0
2015,Sheltered Total Homeless Individuals - Woman,122116.0
2015,Sheltered Total Homeless People in Families - Man,144986.0
2015,Sheltered Total Homeless People in Families - Transgender,130.0
2015,Sheltered Total Homeless People in Families - Woman,226532.0
2015,Sheltered Total Homeless Veterans - Man,57498.0
2015,Sheltered Total Homeless Veterans - Transgender,96.0
2015,Sheltered Total Homeless Veterans - Woman,5416.0
2015,Unsheltered Homeless - Man,245292.0
2015,Unsheltered Homeless - Transgender,1204.0
2015,Unsheltered Homeless - Woman,100040.0
2015,Unsheltered Homeless Individuals - Man,226250.0
2015,Unsheltered Homeless Individuals - Transgender,1110.0
2015,Unsheltered Homeless Individuals - Woman,78252.0
2015,Unsheltered Homeless People in Families - Man,19042.0
2015,Unsheltered Homeless People in Families - Transgender,94.0
2015,Unsheltered Homeless People in Families - Woman,21788.0
2015,Unsheltered Homeless Veterans - Man,29092.0
2015,Unsheltered Homeless Veterans - Transgender,88.0
2015,Unsheltered Homeless Veterans - Woman,3260.0
2016,Overall Homeless - Man,661780.0
2016,Overall Homeless - Transgender,3540.0
2016,Overall Homeless - Woman,434536.0
2016,Overall Homeless Individuals - Man,508760.0
2016,Overall Homeless Individuals - Transgender,3394.0
2016,Overall Homeless Individuals - Woman,198270.0
2016,Overall Homeless People in Families - Man,153020.0
2016,Overall Homeless People in Families - Transgender,146.0
2016,Overall Homeless People in Families - Woman,236266.0
2016,Overall Homeless Veterans - Man,71910.0
2016,Overall Homeless Veterans - Transgender,376.0
2016,Overall Homeless Veterans - Woman,6656.0
2016,Sheltered ES Homeless - Man,284420.0
2016,Sheltered ES Homeless - Transgender,1010.0
2016,Sheltered ES Homeless - Woman,223182.0
2016,Sheltered ES Homeless Individuals - Man,193024.0
2016,Sheltered ES Homeless Individuals - Transgender,974.0
2016,Sheltered ES Homeless Individuals - Woman,82624.0
2016,Sheltered ES Homeless People in Families - Man,91396.0
2016,Sheltered ES Homeless People in Families - Transgender,36.0
2016,Sheltered ES Homeless People in Families - Woman,140558.0
2016,Sheltered ES Homeless Veterans - Man,18516.0
2016,Sheltered ES Homeless Veterans - Transgender,56.0
2016,Sheltered ES Homeless Veterans - Woman,1722.0
2016,Sheltered SH Homeless - Man,2272.0
2016,Sheltered SH Homeless - Transgender,6.0
2016,Sheltered SH Homeless - Woman,1094.0
2016,Sheltered SH Homeless Individuals - Man,2272.0
2016,Sheltered SH Homeless Individuals - Transgender,6.0
2016,Sheltered SH Homeless Individuals - Woman,1094.0
2016,Sheltered SH Homeless Veterans - Man,488.0
2016,Sheltered SH Homeless Veterans - Transgender,2.0
2016,Sheltered SH Homeless Veterans - Woman,36.0
2016,Sheltered TH Homeless - Man,127306.0
2016,Sheltered TH Homeless - Transgender,568.0
2016,Sheltered TH Homeless - Woman,107284.0
2016,Sheltered TH Homeless Individuals - Man,81988.0
2016,Sheltered TH Homeless Individuals - Transgender,532.0
2016,Sheltered TH Homeless Individuals - Woman,33502.0
2016,Sheltered TH Homeless People in Families - Man,45318.0
2016,Sheltered TH Homeless People in Families - Transgender,36.0
2016,Sheltered TH Homeless People in Families - Woman,73782.0
2016,Sheltered TH Homeless Veterans - Man,29204.0
2016,Sheltered TH Homeless Veterans - Transgender,126.0
2016,Sheltered TH Homeless Veterans - Woman,2658.0
2016,Sheltered Total Homeless - Man,413998.0
2016,Sheltered Total Homeless - Transgender,1584.0
2016,Sheltered Total Homeless - Woman,331560.0
2016,Sheltered Total Homeless Individuals - Man,277284.0
2016,Sheltered Total Homeless Individuals - Transgender,1512.0
2016,Sheltered Total Homeless Individuals - Woman,117220.0
2016,Sheltered Total Homeless People in Families - Man,136714.0
2016,Sheltered Total Homeless People in Families - Transgender,72.0
2016,Sheltered Total Homeless People in Families - Woman,214340.0
2016,Sheltered Total Homeless Veterans - Man,48208.0
2016,Sheltered Total Homeless Veterans - Transgender,184.0
2016,Sheltered Total Homeless Veterans - Woman,4416.0
2016,Unsheltered Homeless - Man,247782.0
2016,Unsheltered Homeless - Transgender,1956.0
2016,Unsheltered Homeless - Woman,102976.0
2016,Unsheltered Homeless Individuals - Man,231476.0
2016,Unsheltered Homeless Individuals - Transgender,1882.0
2016,Unsheltered Homeless Individuals - Woman,81050.0
2016,Unsheltered Homeless People in Families - Man,16306.0
2016,Unsheltered Homeless People in Families - Transgender,74.0
2016,Unsheltered Homeless People in Families - Woman,21926.0
2016,Unsheltered Homeless Veterans - Man,23702.0
2016,Unsheltered Homeless Veterans - Transgender,192.0
2016,Unsheltered Homeless Veterans - Woman,2240.0
2017,Overall Homeless - Man,666098.0
2017,Overall Homeless - Non Binary,1768.0
2017,Overall Homeless - Transgender,4176.0
2017,Overall Homeless - Woman,429950.0
2017,Overall Homeless Individuals - Man,520206.0
2017,Overall Homeless Individuals - Non Binary,1458.0
2017,Overall Homeless Individuals - Transgender,4006.0
2017,Overall Homeless Individuals - Woman,207500.0
2017,Overall Homeless People in Families - Man,145892.0
2017,Overall Homeless People in Families - Non Binary,310.0
2017,Overall Homeless People in Families - Transgender,170.0
2017,Overall Homeless People in Families - Woman,222450.0
2017,Overall Homeless Veterans - Man,72532.0
2017,Overall Homeless Veterans - Non Binary,104.0
2017,Overall Homeless Veterans - Transgender,262.0
2017,Overall Homeless Veterans - Woman,7142.0
2017,Sheltered ES Homeless - Man,288944.0
2017,Sheltered ES Homeless - Non Binary,246.0
2017,Sheltered ES Homeless - Transgender,1418.0
2017,Sheltered ES Homeless - Woman,234252.0
2017,Sheltered ES Homeless Individuals - Man,193414.0
2017,Sheltered ES Homeless Individuals - Non Binary,180.0
2017,Sheltered ES Homeless Individuals - Transgender,1302.0
2017,Sheltered ES Homeless Individuals - Woman,86790.0
2017,Sheltered ES Homeless People in Families - Man,95530.0
