year,race_ethnicity,total_count
2014,"Overall Homeless - American Indian, Alaska Native, or Indigenous",22604.0
2014,Overall Homeless - Asian or Asian American,9334.0
2014,"Overall Homeless - Black, African American, or African",413946.0
2014,Overall Homeless - Hispanic/Latina/e/o,184730.0
2014,Overall Homeless - Native Hawaiian or Other Pacific Islander,13868.0
2014,Overall Homeless - Non-Hispanic/Latina/e/o,784722.0
2014,Overall Homeless - White,457448.0
2014,"Overall Homeless Individuals - American Indian, Alaska Native, or Indigenous",13524.0
2014,Overall Homeless Individuals - Asian or Asian American,5218.0
2014,"Overall Homeless Individuals - Black, African American, or African",213494.0
2014,Overall Homeless Individuals - Hispanic/Latina/e/o,82364.0
2014,Overall Homeless Individuals - Native Hawaiian or Other Pacific Islander,5330.0
2014,Overall Homeless Individuals - Non-Hispanic/Latina/e/o,475896.0
2014,Overall Homeless Individuals - White,296916.0
2014,"Overall Homeless People in Families - American Indian, Alaska Native, or Indigenous",9080.0
2014,Overall Homeless People in Families - Asian or Asian American,4116.0
2014,"Overall Homeless People in Families - Black, African American, or African",200452.0
2014,Overall Homeless People in Families - Hispanic/Latina/e/o,102366.0
2014,Overall Homeless People in Families - Native Hawaiian or Other Pacific Islander,8538.0
2014,Overall Homeless People in Families - Non-Hispanic/Latina/e/o,308826.0
2014,Overall Homeless People in Families - White,160532.0
2014,"Overall Homeless Veterans - American Indian, Alaska Native, or Indigenous",1682.0
2014,Overall Homeless Veterans - Asian or Asian American,568.0
2014,"Overall Homeless Veterans - Black, African American, or African",29760.0
2014,Overall Homeless Veterans - Hispanic/Latina/e/o,9472.0
2014,Overall Homeless Veterans - Native Hawaiian or Other Pacific Islander,610.0
2014,Overall Homeless Veterans - Non-Hispanic/Latina/e/o,71426.0
2014,Overall Homeless Veterans - White,45342.0
2014,"Sheltered ES Homeless - American Indian, Alaska Native, or Indigenous",10962.0
2014,Sheltered ES Homeless - Asian or Asian American,5072.0
2014,"Sheltered ES Homeless - Black, African American, or African",248350.0
2014,Sheltered ES Homeless - Hispanic/Latina/e/o,104406.0
2014,Sheltered ES Homeless - Native Hawaiian or Other Pacific Islander,4308.0
2014,Sheltered ES Homeless - Non-Hispanic/Latina/e/o,404248.0
2014,Sheltered ES Homeless - White,212556.0
2014,"Sheltered ES Homeless Individuals - American Indian, Alaska Native, or Indigenous",6474.0
2014,Sheltered ES Homeless Individuals - Asian or Asian American,2754.0
2014,"Sheltered ES Homeless Individuals - Black, African American, or African",117454.0
2014,Sheltered ES Homeless Individuals - Hispanic/Latina/e/o,40286.0
2014,Sheltered ES Homeless Individuals - Native Hawaiian or Other Pacific Islander,1692.0
2014,Sheltered ES Homeless Individuals - Non-Hispanic/Latina/e/o,238424.0
2014,Sheltered ES Homeless Individuals - White,137716.0
2014,"Sheltered ES Homeless People in Families - American Indian, Alaska Native, or Indigenous",4488.0
2014,Sheltered ES Homeless People in Families - Asian or Asian American,2318.0
2014,"Sheltered ES Homeless People in Families - Black, African American, or African",130896.0
2014,Sheltered ES Homeless People in Families - Hispanic/Latina/e/o,64120.0
2014,Sheltered ES Homeless People in Families - Native Hawaiian or Other Pacific Islander,2616.0
2014,Sheltered ES Homeless People in Families - Non-Hispanic/Latina/e/o,165824.0
2014,Sheltered ES Homeless People in Families - White,74840.0
2014,"Sheltered ES Homeless Veterans - American Indian, Alaska Native, or Indigenous",582.0
2014,Sheltered ES Homeless Veterans - Asian or Asian American,200.0
